product_name,category,price_min_inr,price_max_inr,price_mid_inr,price_unit,min_order_qty,supplier_name,supplier_city,supplier_state,supplier_rating,has_price,has_location,has_supplier,product_url,source,scraped_at,price_raw
PCB Board OEM,electronics,20.8,26.4,23.6,Piece,5 Pieces,Shree Traders,Meerut,Uttar Pradesh,3.5,True,True,True,https://www.indiamart.com/proddetail/pcb-board-oem-41227216.html,indiamart.com (demo),2026-05-14 08:38:18.640997+00:00,₹ 21 - 26 / Piece
SMPS Power Supply,electronics,633.43,1009.71,821.5699999999999,Piece,500 Pieces,United Solutions,Faridabad,Delhi,4.0,True,True,True,https://www.indiamart.com/proddetail/smps-power-supply-47295260.html,indiamart.com (demo),2026-05-18 14:32:49.641046+00:00,"₹ 633 - 1,010 / Piece"
SMPS Power Supply,electronics,2897.37,3370.96,3134.165,Piece,50 Meters,Star Traders,Rajkot,Gujarat,4.2,True,True,True,https://www.indiamart.com/proddetail/smps-power-supply-20576383.html,indiamart.com (demo),2026-05-13 19:02:25.641077+00:00,"₹ 2,897 - 3,371 / Piece"
MOSFET Transistor Premium,electronics,935.23,1631.84,1283.5349999999999,Piece,50 Kg,Sri Exports,Mumbai,Maharashtra,,True,True,True,https://www.indiamart.com/proddetail/mosfet-transistor-premium-61019678.html,indiamart.com (demo),2026-05-17 02:52:05.641098+00:00,"₹ 935 - 1,632 / Piece"
Relay Module 5V Premium,electronics,4548.55,5455.56,5002.055,Piece,500 Pieces,Prime Solutions,Kanpur,Uttar Pradesh,3.7,True,True,True,https://www.indiamart.com/proddetail/relay-module-5v-premium-95899313.html,indiamart.com (demo),2026-05-13 17:36:37.641119+00:00,"₹ 4,549 - 5,456 / Piece"
MOSFET Transistor Bulk Pack,electronics,129.71,212.57,171.14,Piece,1 Set,Bharat Traders,,,3.5,True,False,True,https://www.indiamart.com/proddetail/mosfet-transistor-bulk-pack-86125617.html,indiamart.com (demo),2026-05-16 16:10:38.641137+00:00,₹ 130 - 213 / Piece
Raspberry Pi Case Standard,electronics,397.17,692.71,544.94,Piece,1 Meter,New Solutions,Pune,Maharashtra,4.0,True,True,True,https://www.indiamart.com/proddetail/raspberry-pi-case-standard-39436733.html,indiamart.com (demo),2026-05-18 19:32:30.641155+00:00,₹ 397 - 693 / Piece
PCB Board OEM,electronics,34.25,38.76,36.504999999999995,Piece,1 Set,New Manufacturing,Tirupur,Tamil Nadu,4.5,True,True,True,https://www.indiamart.com/proddetail/pcb-board-oem-43744231.html,indiamart.com (demo),2026-05-13 18:41:42.641172+00:00,₹ 34 - 39 / Piece
Breadboard 830 Tie HD,electronics,20.0,26.55,23.275,Piece,50 Kg,Global Enterprises,Gurgaon,Delhi,4.4,True,True,True,https://www.indiamart.com/proddetail/breadboard-830-tie-hd-10435578.html,indiamart.com (demo),2026-05-17 07:06:58.641192+00:00,₹ 20 - 27 / Piece
Bluetooth HC-05 Module Industrial Grade,electronics,2553.64,3651.45,3102.545,Piece,1 Unit,Allied Enterprises,Salem,Tamil Nadu,4.5,True,True,True,https://www.indiamart.com/proddetail/bluetooth-hc-05-module-industrial-grade-81182864.html,indiamart.com (demo),2026-05-20 11:40:02.641211+00:00,"₹ 2,554 - 3,651 / Piece"
